,id,Iforest,LOF,FCA,
89,73055-NTFS:\Windows\WinSxS\x86_microsoft-windows-snmp-evntcmd_31bf3856ad364e35_6.3.9600.16384_none_4da48c281f9eb7d2\evntcmd.exe,1,0,0,1
90,39013-NTFS:\Windows\WinSxS\amd64_microsoft-windows-diskpart_31bf3856ad364e35_6.3.9600.16384_none_5996c56569e3ed38\diskpart.exe,1,0,0,1
91,84286-NTFS:\Windows\WinSxS\wow64_microsoft-windows-i..etexplorer-optional_31bf3856ad364e35_11.0.9600.17031_none_a6ec1d48c506fb7a\iexplore.exe,1,0,0,1
92,42235-NTFS:\Windows\WinSxS\amd64_microsoft-windows-t..-remoteapplications_31bf3856ad364e35_6.3.9600.16384_none_32ce9a15705897f8\rdpshell.exe,1,0,0,1
93,42379-NTFS:\Windows\WinSxS\amd64_microsoft-windows-t..vices-licenseserver_31bf3856ad364e35_6.3.9600.16384_none_920640d8727f433b\TLSUnattend.exe,1,0,0,1
94,20377-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\appsFolder.itemdata-ms,0,1,0,1
95,87089-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\Low\Content.IE5,1,0,0,1
96,72645-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-g..aller-win5x-package_31bf3856ad364e35_6.3.9600.16384_none_66ccee6da5edbbaa\Windows5.x-HyperVIntegrationServices-x86.msi,1,0,0,1
97,42305-NTFS:\Windows\WinSxS\amd64_microsoft-windows-t..krecognition-server_31bf3856ad364e35_6.3.9600.17031_none_1f4133af0b93a584\hwrreg.exe,1,0,0,1
98,87130-NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1bc392b8e104a00e.automaticDestinations-ms,0,1,0,1
99,39460-NTFS:\Windows\WinSxS\amd64_microsoft-windows-fsdm-hostprocess_31bf3856ad364e35_6.3.9600.16384_none_1dcf65c39dce3a7c\fsdmhost.exe,1,0,0,1
100,38040-NTFS:\Windows\WinSxS\amd64_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_607a8fc83c1f7915\WindowsServer2003.WindowsXP-KB943295-x64-RUS.exe,1,0,0,1
101,41028-NTFS:\Windows\WinSxS\amd64_microsoft-windows-migrationengine_31bf3856ad364e35_6.3.9600.16384_none_496637bdaf370348\mighost.exe,1,0,0,1
102,41208-NTFS:\Windows\WinSxS\amd64_microsoft-windows-nap-oobshv_31bf3856ad364e35_6.3.9600.16384_none_84a0392517a2f96b\shvcnfg.exe,1,0,0,1
103,42491-NTFS:\Windows\WinSxS\amd64_microsoft-windows-w..tionproxy-authnzlib_31bf3856ad364e35_6.3.9600.16384_none_ad872097f4ade438\Microsoft.IdentityServer.ApplicationProxy.AuthNZLib.exe,1,0,0,1
104,72676-NTFS:\Windows\WinSxS\x86_microsoft-windows-autofmt_31bf3856ad364e35_6.3.9600.16384_none_7a940164dac7ad16\autofmt.exe,1,0,0,1
105,87124-NTFS:\Users\Administrator\AppData\Local\Microsoft\Internet Explorer\Tiles\pin-314712940,1,0,0,1
106,38009-NTFS:\Windows\WinSxS\amd64_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_607a8fc83c1f7915\WindowsServer2003.WindowsXP-KB943295-x64-CHS.exe,1,0,0,1
